phi_deg,x_boundary,y_boundary,x_query,y_query,sig_tt,sig_nn,sig_nt,sig_tt_eff
174.75,0.12012585217276,0.00274504855990208,0.120386553293167,0.00272109349215337,3.40814562230204,0.0532994036209787,-0.0153349798648907,3.40814562230204
175,0.120114159057248,0.00261467228242976,0.120374962219337,0.00259185496233524,3.41149874337616,0.0532102850905046,-0.0146171605328935,3.41149874337616
175.25,0.120103034925067,0.00248424622536613,0.120363935163523,0.00246256708733469,3.41469774549143,0.0531356557545626,-0.0138771892540262,3.41469774549143
175.5,0.120092479988006,0.00235377287183535,0.120353472335664,0.00233323232860653,3.41774239251036,0.0530756922671158,-0.0131179583576298,3.41774239251036
175.75,0.120082494447015,0.00222325470586199,0.120343573934957,0.00220385314849811,3.42063250804266,0.0530305141943651,-0.0123423615731734,3.42063250804266
176,0.120073078492205,0.00209269421232377,0.120334240149854,0.00207443201020253,3.42336797544777,0.0530001840133662,-0.0115532930646736,3.42336797544777
176.25,0.120064232302842,0.00196209387690429,0.120325471158056,0.00194497137771169,3.42594873782279,0.0529847071251154,-0.0107536464652829,3.42594873782279
176.5,0.120055956047344,0.00183145618604572,0.120317267126512,0.00181547371576946,3.42837479797585,0.0529840318821338,-0.00994631391225798,3.42837479797585
176.75,0.12004824988328,0.00170078362690133,0.120309628211415,0.00168594148982461,3.4306462183851,0.0529980496304426,-0.00913418508251013,3.4306462183851
177,0.120041113957363,0.00157007868728831,0.1203025545582,0.00155637716598403,3.43276312114312,0.0530265947660076,-0.00832014622894541,3.43276312114312
177.25,0.120034548405451,0.00143934385564033,0.120296046301537,0.00142678321096569,3.43472568788691,0.0530694448056006,-0.00750707921780076,3.43472568788691
177.5,0.120028553352544,0.00130858162096008,0.120290103565336,0.00129716209205166,3.43653415971336,0.05312632047208,-0.00669786056718149,3.43653415971336
177.75,0.120023128912778,0.00117779447277207,0.120284726462737,0.00116751627704124,3.43818883708036,0.0531968857940382,-0.00589536048700303,3.43818883708036
178,0.120018275189427,0.00104698490107502,0.120279915096113,0.00103784823420381,3.43969007969341,0.053280748219839,-0.00510244192054529,3.43969007969341
